Year,State,Number
2005,Arkansas,167113
2005,California,1886718
2005,Colorado,164012
2005,Connecticut,171585
2005,Delaware,53876
2005,District of Columbia,31569
2005,Florida,1189301
2005,Georgia,545873
2005,Hawaii,71413
2005,Idaho,69321
2005,Illinois,752157
2005,Indiana,384102
2005,Iowa,153492
2005,Kansas,141033
2005,Kentucky,281368
2005,Louisiana,264552
2005,Maine,76173
2005,Maryland,298940
2005,Massachusetts,312627
2005,Michigan,614872
2005,Minnesota,222778
2005,Mississippi,206993
2005,Missouri,336105
2005,Montana,39759
2005,Nebraska,95701
2005,Nevada,124024
2005,New Hampshire,64350
2005,New Jersey,499657
2005,New Mexico,101121
2005,New York,1186575
2005,North Carolina,546192
2005,North Dakota,32172
2005,Ohio,661547
2005,Oklahoma,237337
2005,Oregon,184156
2005,Pennsylvania,776639
2005,Rhode Island,53764
2005,South Carolina,328004
2005,South Dakota,36825
2005,Tennessee,407217
2005,Texas,1286206
2005,Utah,90473
2005,Vermont,28798
2005,Virginia,393952
2005,Washington,298127
2005,West Virginia,149102
2005,Wisconsin,273327
2005,Wyoming,25022
2005,Puerto Rico,355145
2005,Virgin Islands of the U.S.,6203
2005,Guam,No Data
2006,Alabama,343958
2006,Alaska,27502
2006,Arizona,361510
2006,Arkansas,171320
2006,California,2198866
2006,Colorado,182546
2006,Connecticut,171564
2006,Delaware,52093
2006,District of Columbia,34824
2006,Florida,1172565
2006,Georgia,602646
2006,Hawaii,79560
2006,Idaho,71295
2006,Illinois,777911
2006,Indiana,376432
2006,Iowa,165349
2006,Kansas,150036
2006,Kentucky,317635
2006,Louisiana,307119
2006,Maine,71665
2006,Maryland,331370
2006,Massachusetts,312999
2006,Michigan,685776
2006,Minnesota,223962
2006,Mississippi,235637
2006,Missouri,323661
2006,Montana,45607
2006,Nebraska,97445
2006,Nevada,137311
2006,New Hampshire,74834
2006,New Jersey,492720
2006,New Mexico,104812
2006,New York,1115103
2006,North Carolina,597592
2006,North Dakota,33062
2006,Ohio,583792
2006,Oklahoma,267508
2006,Oregon,186534
2006,Pennsylvania,819428
2006,Rhode Island,62866
2006,South Carolina,310240
2006,South Dakota,37738
2006,Tennessee,485770
2006,Texas,1314157
2006,Utah,97597
2006,Vermont,28954
2006,Virginia,424023
2006,Washington,339733
2006,West Virginia,172723
2006,Wisconsin,263427
2006,Wyoming,25287
2006,Puerto Rico,337795
2006,Virgin Islands of the U.S.,6577
2006,Guam,No Data
2007,Alabama,358917
2007,Alaska,29448
2007,Arizona,381207
2007,Arkansas,197250
2007,California,2071612
2007,Colorado,188986
2007,Connecticut,195709
2007,Delaware,57563
2007,District of Columbia,37147
2007,Florida,1236492
2007,Georgia,699616
2007,Hawaii,75485
2007,Idaho,85126
2007,Illinois,844941
2007,Indiana,395589
2007,Iowa,155333
2007,Kansas,151937
2007,Kentucky,318038
2007,Louisiana,327971
2007,Maine,82332
2007,Maryland,349785
2007,Massachusetts,362150
2007,Michigan,670809
2007,Minnesota,223841
2007,Mississippi,244091
2007,Missouri,357792
2007,Montana,48919
2007,Nebraska,94719
2007,Nevada,149953
2007,New Hampshire,72286
2007,New Jersey,601155
2007,New Mexico,114051
2007,New York,1209052
2007,North Carolina,604925
2007,North Dakota,31453
2007,Ohio,823099
2007,Oklahoma,277113
2007,Oregon,196347
2007,Pennsylvania,836128
2007,Rhode Island,59992
2007,South Carolina,313960
2007,South Dakota,39476
2007,Tennessee,548088
2007,Texas,1739992
2007,Utah,102854
2007,Vermont,34375
2007,Virginia,464942
2007,Washington,343913
2007,West Virginia,156188
2007,Wisconsin,272072
2007,Wyoming,27653
2007,Guam,9660
2007,Puerto Rico,354338
2007,Virgin Islands of the U.S.,6453
2008,Alabama,395058
2008,Alaska,32605
2008,Arizona,368173
2008,Arkansas,203167
2008,California,2367595
2008,Colorado,217976
2008,Connecticut,180867
2008,Delaware,54090
2008,District of Columbia,36503
2008,Florida,1372255
2008,Georgia,699704
2008,Hawaii,81493
2008,Idaho,75976
2008,Illinois,805830
2008,Indiana,444575
2008,Iowa,161154
2008,Kansas,168123
2008,Kentucky,318356
2008,Louisiana,348150
2008,Maine,86307
2008,Maryland,370889
2008,Massachusetts,352975
2008,Michigan,692035
2008,Minnesota,233358
2008,Mississippi,244156
2008,Missouri,410016
2008,Montana,47395
2008,Nebraska,102133
2008,Nevada,166930
2008,New Hampshire,73651
2008,New Jersey,556455
2008,New Mexico,115603
2008,New York,1233231
2008,North Carolina,640694
2008,North Dakota,36847
2008,Ohio,858972
2008,Oklahoma,272755
2008,Oregon,200625
2008,Pennsylvania,843967
2008,Rhode Island,61761
2008,South Carolina,337232
2008,South Dakota,38912
2008,Tennessee,482656
2008,Texas,1669823
2008,Utah,110459
2008,Vermont,31525
2008,Virginia,465389
2008,Washington,343235
2008,West Virginia,170948
2008,Wisconsin,307877
2008,Wyoming,29214
2008,Guam,8231
2008,Puerto Rico,350891
2008,Virgin Islands of the U.S.,7252
2009,Alabama,431459
2009,Alaska,29607
2009,Arizona,407339
2009,Arkansas,218692
2009,California,2550223
2009,Colorado,215598
2009,Connecticut,176551
2009,Delaware,53717
2009,District of Columbia,35306
2009,Florida,1558407
2009,Georgia,689100
2009,Hawaii,84866
2009,Idaho,89273
2009,Illinois,782785
2009,Indiana,448637
2009,Iowa,173067
2009,Kansas,178246
2009,Kentucky,376381
2009,Louisiana,367682
2009,Maine,86784
2009,Maryland,394569
2009,Massachusetts,393882
2009,Michigan,711038
2009,Minnesota,252937
2009,Mississippi,249716
2009,Missouri,357585
2009,Montana,50781
2009,Nebraska,99800
2009,Nevada,153206
2009,New Hampshire,72662
2009,New Jersey,573665
2009,New Mexico,127795
2009,New York,1309923
2009,North Carolina,672074
2009,North Dakota,37058
2009,Ohio,876043
2009,Oklahoma,302549
2009,Oregon,241767
2009,Pennsylvania,869938
2009,Rhode Island,56827
2009,South Carolina,353190
2009,South Dakota,44043
2009,Tennessee,489618
2009,Texas,1649711
2009,Utah,115755
2009,Vermont,30356
2009,Virginia,481315
2009,Washington,386515
2009,West Virginia,176174
2009,Wisconsin,355064
2009,Wyoming,28161
2009,Guam,9565
2009,Puerto Rico,366961
2009,Virgin Islands of the U.S.,5798
2010,Alabama,465778
2010,Alaska,26916
2010,Arizona,444712
2010,Arkansas,209924
2010,California,2423314
2010,Colorado,229338
2010,Connecticut,195138
2010,Delaware,58442
2010,District of Columbia,39592
2010,Florida,1523503
2010,Georgia,708062
2010,Hawaii,82577
2010,Idaho,90587
2010,Illinois,849838
2010,Indiana,472130
2010,Iowa,172948
2010,Kansas,177836
2010,Kentucky,329199
2010,Louisiana,344403
2010,Maine,90221
2010,Maryland,397012
2010,Massachusetts,374432
2010,Michigan,767301
2010,Minnesota,264229
2010,Mississippi,268730
2010,Missouri,422610
2010,Montana,53222
2010,Nebraska,102565
2010,Nevada,164506
2010,New Hampshire,80473
2010,New Jersey,604390
2010,New Mexico,126726
2010,New York,1325799
2010,North Carolina,698669
